table,row_locator,source_logical_locator,ownership,action,confidence,physical_locator_used,permission_name,permission_policy_basis
app_users,"{""user_id"": ""USR-001""}","{""user_id"": ""USR-001""}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
app_users,"{""user_id"": ""USR-002""}","{""user_id"": ""USR-002""}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
app_users,"{""user_id"": ""USR-003""}","{""user_id"": ""USR-003""}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
app_users,"{""user_id"": ""USR-004""}","{""user_id"": ""USR-004""}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
app_users,"{""user_id"": ""USR-005""}","{""user_id"": ""USR-005""}",FIRM-002,COPY_TO_FIRM2,HIGH,False,,
app_users,"{""user_id"": ""USR-006""}","{""user_id"": ""USR-006""}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
app_users,"{""user_id"": ""USR-007""}","{""user_id"": ""USR-007""}",FIRM-002,COPY_TO_FIRM2,HIGH,False,,
archive_packet_finalization,"{""id"": 1}","{""id"": 1}",FIRM-002,COPY_TO_FIRM2,HIGH,False,,
asset_intake,"{""id"": 1}","{""id"": 1}",FIRM-002,COPY_TO_FIRM2,HIGH,False,,
audit_log,"{""id"": 1}","{""id"": 1}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 2}","{""id"": 2}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 3}","{""id"": 3}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 4}","{""id"": 4}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 5}","{""id"": 5}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 6}","{""id"": 6}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 7}","{""id"": 7}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 8}","{""id"": 8}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 9}","{""id"": 9}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 10}","{""id"": 10}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 11}","{""id"": 11}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 12}","{""id"": 12}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 13}","{""id"": 13}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 14}","{""id"": 14}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 15}","{""id"": 15}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 16}","{""id"": 16}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 17}","{""id"": 17}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 18}","{""id"": 18}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 19}","{""id"": 19}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 20}","{""id"": 20}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 21}","{""id"": 21}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 22}","{""id"": 22}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 23}","{""id"": 23}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 24}","{""id"": 24}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 25}","{""id"": 25}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 26}","{""id"": 26}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 27}","{""id"": 27}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 28}","{""id"": 28}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 29}","{""id"": 29}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 30}","{""id"": 30}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 31}","{""id"": 31}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 32}","{""id"": 32}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 33}","{""id"": 33}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 34}","{""id"": 34}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 35}","{""id"": 35}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 36}","{""id"": 36}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 37}","{""id"": 37}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 38}","{""id"": 38}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 39}","{""id"": 39}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 40}","{""id"": 40}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 41}","{""id"": 41}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 42}","{""id"": 42}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 43}","{""id"": 43}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 44}","{""id"": 44}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 45}","{""id"": 45}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 46}","{""id"": 46}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 47}","{""id"": 47}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 48}","{""id"": 48}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 49}","{""id"": 49}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 50}","{""id"": 50}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 51}","{""id"": 51}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 52}","{""id"": 52}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 53}","{""id"": 53}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 54}","{""id"": 54}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 55}","{""id"": 55}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 56}","{""id"": 56}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 57}","{""id"": 57}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 58}","{""id"": 58}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 59}","{""id"": 59}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 60}","{""id"": 60}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 61}","{""id"": 61}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 62}","{""id"": 62}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 63}","{""id"": 63}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 64}","{""id"": 64}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 65}","{""id"": 65}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 66}","{""id"": 66}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 67}","{""id"": 67}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 68}","{""id"": 68}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 69}","{""id"": 69}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 70}","{""id"": 70}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 71}","{""id"": 71}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 72}","{""id"": 72}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 73}","{""id"": 73}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 74}","{""id"": 74}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 75}","{""id"": 75}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 76}","{""id"": 76}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 77}","{""id"": 77}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 78}","{""id"": 78}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 79}","{""id"": 79}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 80}","{""id"": 80}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 81}","{""id"": 81}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 82}","{""id"": 82}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 83}","{""id"": 83}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 84}","{""id"": 84}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 85}","{""id"": 85}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 86}","{""id"": 86}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 87}","{""id"": 87}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 88}","{""id"": 88}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 89}","{""id"": 89}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 90}","{""id"": 90}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 91}","{""id"": 91}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 92}","{""id"": 92}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 93}","{""id"": 93}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 94}","{""id"": 94}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 95}","{""id"": 95}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 96}","{""id"": 96}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 97}","{""id"": 97}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 98}","{""id"": 98}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 99}","{""id"": 99}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 100}","{""id"": 100}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 101}","{""id"": 101}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 102}","{""id"": 102}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 103}","{""id"": 103}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 104}","{""id"": 104}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 105}","{""id"": 105}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 106}","{""id"": 106}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
